date,maxTempM,meanTempM,minTempM,maxDewPtM,meanDewPtM,minDewPtM,maxHumidity,minHumidity,maxPressureM,meanPressureM_1,minPressureM,precipM
01/01/2020,34,31.1,30,30,28.5,27,100,80,29.3,29.1,29,0
02/01/2020,39,32,25,32,26.6,21,93,65,29.3,29.3,29.2,0
03/01/2020,41,37.9,36,36,32.9,30,87,70,29.4,29.3,29.2,0
04/01/2020,36,31.4,28,30,28.1,25,100,80,29.4,29.3,29.3,0
05/01/2020,28,20.4,12,25,14.1,9,86,63,29.5,29.4,29.3,0
06/01/2020,25,16.3,12,19,13.3,9,100,80,29.5,29.4,29.3,0
07/01/2020,30,25,19,23,17.7,14,86,64,29.6,29.5,29.4,0
08/01/2020,30,24.1,9,27,17.9,0,93,59,29.9,29.5,29.3,0
09/01/2020,10,5.6,0,5,-3.7,-8,79,56,30.3,30.2,30,0
10/01/2020,37,29.1,12,37,25.5,5,100,70,29.9,29.8,29.8,0
11/01/2020,46,38,30,46,37.4,28,100,93,29.8,29.5,29.4,0
12/01/2020,28,20.1,12,28,16.6,7,100,68,30.1,29.6,29.3,0
13/01/2020,19,15.9,10,18,13.5,7,93,79,30.1,30,29.9,0
14/01/2020,21,18.7,16,19,16.1,12,93,79,30,29.9,29.6,0
15/01/2020,34,26.8,19,30,24.6,18,100,80,29.7,29.7,29.6,0
16/01/2020,28,22.4,7,28,17.9,0,100,67,30,29.7,29.5,0
17/01/2020,5,-0.6,-6,-4,-9.5,-13,72,56,30.4,30.3,30.1,0
18/01/2020,7,3.5,-2,1,-1.4,-8,85,72,30.3,29.7,29.2,0
19/01/2020,14,10,5,7,4.9,1,85,67,29.7,29.3,29.1,0
20/01/2020,14,5.6,0,0,-2.8,-6,78,49,30,29.9,29.7,0
21/01/2020,23,10.1,-2,18,3.1,-6,85,58,30,30,29.9,0
22/01/2020,34,26.3,18,25,19.2,14,86,60,29.9,29.8,29.8,0
23/01/2020,36,29,23,25,21.5,18,86,64,29.9,29.9,29.8,0
24/01/2020,34,29.8,25,25,23.4,19,86,69,30,29.9,29.8,0
25/01/2020,32,30.9,28,32,27.3,21,100,74,29.8,29.6,29.3,0
26/01/2020,34,32.5,32,34,32,30,100,93,29.3,29.2,29.1,0
27/01/2020,34,32.6,30,32,30.4,27,100,80,29.3,29.2,29.1,0
28/01/2020,30,26.2,23,27,22.6,16,100,74,29.6,29.4,29.3,0
29/01/2020,19,13.7,9,14,6.8,3,86,62,29.9,29.8,29.6,0
30/01/2020,19,12,5,10,5.7,1,85,63,29.9,29.9,29.9,0
